Sensor_ID,Entity_ID,Sensor_Type_Threshold_,Sensor_Reading,Status,Lower_Non_Recoverable,Lower_Critical,Lower_Non_Critical,Upper_Non_Critical,Upper_Critical,Upper_Non_Recoverable,Positive_Hysteresis,Negative_Hysteresis,Assertion_Events,Assertions_Enabled,Time_elapsed
Total Power,215.0,8.57852,Unknown,8.57852,259,8.57852,ok,8.57852,0.000,8.57852,0.000,8.57852,0.000,8.57852,1785.000,8.57852,1785.000,8.57852,1785.000,8.57852,Unspecified,8.57852,Unspecified,8.57852,,8.57852,,8.57852
Total Power,215.0,8.82795,Unknown,8.82795,259,8.82795,ok,8.82795,0.000,8.82795,0.000,8.82795,0.000,8.82795,1785.000,8.82795,1785.000,8.82795,1785.000,8.82795,Unspecified,8.82795,Unspecified,8.82795,,8.82795,,8.82795
Total Power,215.0,9.07099,Unknown,9.07099,259,9.07099,ok,9.07099,0.000,9.07099,0.000,9.07099,0.000,9.07099,1785.000,9.07099,1785.000,9.07099,1785.000,9.07099,Unspecified,9.07099,Unspecified,9.07099,,9.07099,,9.07099
Total Power,215.0,9.35148,Unknown,9.35148,259,9.35148,ok,9.35148,0.000,9.35148,0.000,9.35148,0.000,9.35148,1785.000,9.35148,1785.000,9.35148,1785.000,9.35148,Unspecified,9.35148,Unspecified,9.35148,,9.35148,,9.35148
Total Power,215.0,9.60298,Unknown,9.60298,259,9.60298,ok,9.60298,0.000,9.60298,0.000,9.60298,0.000,9.60298,1785.000,9.60298,1785.000,9.60298,1785.000,9.60298,Unspecified,9.60298,Unspecified,9.60298,,9.60298,,9.60298
Total Power,215.0,9.84606,Unknown,9.84606,259,9.84606,ok,9.84606,0.000,9.84606,0.000,9.84606,0.000,9.84606,1785.000,9.84606,1785.000,9.84606,1785.000,9.84606,Unspecified,9.84606,Unspecified,9.84606,,9.84606,,9.84606
Total Power,215.0,10.06194,Unknown,10.06194,259,10.06194,ok,10.06194,0.000,10.06194,0.000,10.06194,0.000,10.06194,1785.000,10.06194,1785.000,10.06194,1785.000,10.06194,Unspecified,10.06194,Unspecified,10.06194,,10.06194,,10.06194
Total Power,215.0,10.36995,Unknown,10.36995,259,10.36995,ok,10.36995,0.000,10.36995,0.000,10.36995,0.000,10.36995,1785.000,10.36995,1785.000,10.36995,1785.000,10.36995,Unspecified,10.36995,Unspecified,10.36995,,10.36995,,10.36995
Total Power,215.0,10.79362,Unknown,10.79362,280,10.79362,ok,10.79362,0.000,10.79362,0.000,10.79362,0.000,10.79362,1785.000,10.79362,1785.000,10.79362,1785.000,10.79362,Unspecified,10.79362,Unspecified,10.79362,,10.79362,,10.79362
Total Power,215.0,11.00999,Unknown,11.00999,280,11.00999,ok,11.00999,0.000,11.00999,0.000,11.00999,0.000,11.00999,1785.000,11.00999,1785.000,11.00999,1785.000,11.00999,Unspecified,11.00999,Unspecified,11.00999,,11.00999,,11.00999
Total Power,215.0,11.30214,Unknown,11.30214,280,11.30214,ok,11.30214,0.000,11.30214,0.000,11.30214,0.000,11.30214,1785.000,11.30214,1785.000,11.30214,1785.000,11.30214,Unspecified,11.30214,Unspecified,11.30214,,11.30214,,11.30214
Total Power,215.0,11.55790,Unknown,11.55790,280,11.55790,ok,11.55790,0.000,11.55790,0.000,11.55790,0.000,11.55790,1785.000,11.55790,1785.000,11.55790,1785.000,11.55790,Unspecified,11.55790,Unspecified,11.55790,,11.55790,,11.55790
Total Power,215.0,11.78151,Unknown,11.78151,280,11.78151,ok,11.78151,0.000,11.78151,0.000,11.78151,0.000,11.78151,1785.000,11.78151,1785.000,11.78151,1785.000,11.78151,Unspecified,11.78151,Unspecified,11.78151,,11.78151,,11.78151
Total Power,215.0,11.98631,Unknown,11.98631,280,11.98631,ok,11.98631,0.000,11.98631,0.000,11.98631,0.000,11.98631,1785.000,11.98631,1785.000,11.98631,1785.000,11.98631,Unspecified,11.98631,Unspecified,11.98631,,11.98631,,11.98631
Total Power,215.0,12.20237,Unknown,12.20237,280,12.20237,ok,12.20237,0.000,12.20237,0.000,12.20237,0.000,12.20237,1785.000,12.20237,1785.000,12.20237,1785.000,12.20237,Unspecified,12.20237,Unspecified,12.20237,,12.20237,,12.20237
Total Power,215.0,12.42676,Unknown,12.42676,280,12.42676,ok,12.42676,0.000,12.42676,0.000,12.42676,0.000,12.42676,1785.000,12.42676,1785.000,12.42676,1785.000,12.42676,Unspecified,12.42676,Unspecified,12.42676,,12.42676,,12.42676
Total Power,215.0,12.72599,Unknown,12.72599,280,12.72599,ok,12.72599,0.000,12.72599,0.000,12.72599,0.000,12.72599,1785.000,12.72599,1785.000,12.72599,1785.000,12.72599,Unspecified,12.72599,Unspecified,12.72599,,12.72599,,12.72599
